,Israel,Year,United States,United Kingdom
0,2.59054,1996,2.45001,1.58017
1,2.80736,1997,2.47983,1.5391
2,2.91897,1998,2.50401,1.55107
3,3.33008,1999,2.54965,1.62792
4,3.93329,2000,2.62879,1.61712
5,4.18499,2001,2.6483,1.60477
6,4.13067,2002,2.55926,1.61497
7,3.89304,2003,2.56455,1.58239
8,3.87344,2004,2.50243,1.5338
9,4.04819,2005,2.51697,1.55279
10,4.14097,2006,2.55764,1.57317
11,4.42235,2007,2.63161,1.61289
12,4.34227,2008,2.76791,1.61272
13,4.13293,2009,2.8127,1.67125
14,3.93541,2010,2.7354,1.64564
15,4.01532,2011,2.76525,1.64959
16,4.16147,2012,2.68166,1.57716
17,4.0961,2013,2.70972,1.62028
18,4.17398,2014,2.71924,1.6434
19,4.26525,2015,2.71742,1.64985
20,4.51177,2016,2.76145,1.66023
21,4.81623,2017,2.81741,1.68022
22,4.94079,2018,2.83283,1.70274
